split,evaluation_protocol,eval_kind,seed,rep,level,axis,predictor,line,n,tau,tau_used,c_index,brier
legacy_reused_holdout,1,bestCI,0,0,0.25,gamma,dynasurv,3,438,12.0,12.0,0.6368791857036373,0.1548553606594168
legacy_reused_holdout,1,bestCI,0,0,0.25,gamma,oracle,3,438,12.0,12.0,0.6855940081046792,0.1405951687999802
legacy_reused_holdout,1,bestCI,0,0,0.25,gamma,naive_km,3,438,12.0,12.0,0.5491287370152224,0.1718160914175075
legacy_reused_holdout,1,bestCI,0,0,0.25,gamma,dynasurv,4,198,12.0,12.0,0.6419422287991354,0.1143584903536769
legacy_reused_holdout,1,bestCI,0,0,0.25,gamma,oracle,4,198,12.0,12.0,0.7422299834559763,0.1032379490393046
legacy_reused_holdout,1,bestCI,0,0,0.25,gamma,naive_km,4,198,12.0,12.0,0.4750891354653812,0.1510801754250761
legacy_reused_holdout,1,bestCI,1,1,0.25,gamma,dynasurv,1,1977,24.0,24.0,0.6883271827132504,0.1584132823514527
legacy_reused_holdout,1,bestCI,1,1,0.25,gamma,oracle,1,1977,24.0,24.0,0.7322660620769691,0.134249897194252
legacy_reused_holdout,1,bestCI,1,1,0.25,gamma,naive_km,1,1977,24.0,24.0,0.5521093409786552,0.170041117466279
legacy_reused_holdout,1,bestCI,1,1,0.25,gamma,dynasurv,2,840,18.0,18.0,0.6485160922097543,0.1668474604292346
legacy_reused_holdout,1,bestCI,1,1,0.25,gamma,oracle,2,840,18.0,18.0,0.6961907921850402,0.1317449719432682
legacy_reused_holdout,1,bestCI,1,1,0.25,gamma,naive_km,2,840,18.0,18.0,0.521607666021825,0.1777767438956848
legacy_reused_holdout,1,bestCI,1,1,0.25,gamma,dynasurv,3,438,12.0,12.0,0.6547630800135349,0.1562102516459871
legacy_reused_holdout,1,bestCI,1,1,0.25,gamma,oracle,3,438,12.0,12.0,0.6859630849015563,0.1438320376731925
legacy_reused_holdout,1,bestCI,1,1,0.25,gamma,naive_km,3,438,12.0,12.0,0.5352568456726313,0.1789865692964506
legacy_reused_holdout,1,bestCI,1,1,0.25,gamma,dynasurv,4,198,12.0,12.0,0.6602769070315375,0.124931106434982
legacy_reused_holdout,1,bestCI,1,1,0.25,gamma,oracle,4,198,12.0,12.0,0.7179556336168382,0.1223938904728926
legacy_reused_holdout,1,bestCI,1,1,0.25,gamma,naive_km,4,198,12.0,12.0,0.5328195789448976,0.1611766628662038
legacy_reused_holdout,1,bestCI,2,2,0.25,gamma,dynasurv,1,1977,24.0,24.0,0.6625257585006199,0.1742987709324801
legacy_reused_holdout,1,bestCI,2,2,0.25,gamma,oracle,1,1977,24.0,24.0,0.7274787959521816,0.1402967131909714
legacy_reused_holdout,1,bestCI,2,2,0.25,gamma,naive_km,1,1977,24.0,24.0,0.5564466174464479,0.1795012816133181
legacy_reused_holdout,1,bestCI,2,2,0.25,gamma,dynasurv,2,840,18.0,18.0,0.6913462355040703,0.1405348207490104
legacy_reused_holdout,1,bestCI,2,2,0.25,gamma,oracle,2,840,18.0,18.0,0.7358926159150382,0.1228585710079722
legacy_reused_holdout,1,bestCI,2,2,0.25,gamma,naive_km,2,840,18.0,18.0,0.5605599605368619,0.1672552728461615
legacy_reused_holdout,1,bestCI,2,2,0.25,gamma,dynasurv,3,438,12.0,12.0,0.6781054425940178,0.1507225193719968
legacy_reused_holdout,1,bestCI,2,2,0.25,gamma,oracle,3,438,12.0,12.0,0.7275498748307098,0.1316570822029089
legacy_reused_holdout,1,bestCI,2,2,0.25,gamma,naive_km,3,438,12.0,12.0,0.5434547106493888,0.1745109392600127
legacy_reused_holdout,1,bestCI,2,2,0.25,gamma,dynasurv,4,198,12.0,12.0,0.6520541792310505,0.1352203684616784
legacy_reused_holdout,1,bestCI,2,2,0.25,gamma,oracle,4,198,12.0,12.0,0.7103883784277514,0.1176251428175272
legacy_reused_holdout,1,bestCI,2,2,0.25,gamma,naive_km,4,198,12.0,12.0,0.4762247534635389,0.1559720639194416
legacy_reused_holdout,1,bestCI,0,0,0.5,gamma,dynasurv,1,1977,24.0,24.0,0.6676539522321282,0.1749831570383253
legacy_reused_holdout,1,bestCI,0,0,0.5,gamma,oracle,1,1977,24.0,24.0,0.7294981792125483,0.134800587174321
legacy_reused_holdout,1,bestCI,0,0,0.5,gamma,naive_km,1,1977,24.0,24.0,0.5187189709649441,0.1724458111145673
legacy_reused_holdout,1,bestCI,0,0,0.5,gamma,dynasurv,2,840,18.0,18.0,0.6345466477578987,0.1816279558138301
legacy_reused_holdout,1,bestCI,0,0,0.5,gamma,oracle,2,840,18.0,18.0,0.7021120316176176,0.1374712301949778
legacy_reused_holdout,1,bestCI,0,0,0.5,gamma,naive_km,2,840,18.0,18.0,0.5630544795399239,0.1766076249909737
legacy_reused_holdout,1,bestCI,0,0,0.5,gamma,dynasurv,3,438,12.0,12.0,0.6554042174309446,0.148576913222283
legacy_reused_holdout,1,bestCI,0,0,0.5,gamma,oracle,3,438,12.0,12.0,0.6914536325879619,0.1360746308480536
legacy_reused_holdout,1,bestCI,0,0,0.5,gamma,naive_km,3,438,12.0,12.0,0.5608679670072844,0.1685754314097812
legacy_reused_holdout,1,bestCI,0,0,0.5,gamma,dynasurv,4,198,12.0,12.0,0.6602280839691715,0.1233525812236858
legacy_reused_holdout,1,bestCI,0,0,0.5,gamma,oracle,4,198,12.0,12.0,0.7516064431255768,0.1045347251677607
legacy_reused_holdout,1,bestCI,0,0,0.5,gamma,naive_km,4,198,12.0,12.0,0.5179118590208165,0.1513382582435384
legacy_reused_holdout,1,bestCI,1,1,0.5,gamma,dynasurv,1,1977,24.0,24.0,0.6881379536096309,0.1562524667480612
legacy_reused_holdout,1,bestCI,1,1,0.5,gamma,oracle,1,1977,24.0,24.0,0.732356762032989,0.13469615993833
legacy_reused_holdout,1,bestCI,1,1,0.5,gamma,naive_km,1,1977,24.0,24.0,0.5577053376722515,0.169872727685413
legacy_reused_holdout,1,bestCI,1,1,0.5,gamma,dynasurv,2,840,18.0,18.0,0.6537543257598039,0.1605201970421005
legacy_reused_holdout,1,bestCI,1,1,0.5,gamma,oracle,2,840,18.0,18.0,0.696787912799208,0.1291769157689198
legacy_reused_holdout,1,bestCI,1,1,0.5,gamma,naive_km,2,840,18.0,18.0,0.5409448280083696,0.1750869343173186
legacy_reused_holdout,1,bestCI,1,1,0.5,gamma,dynasurv,3,438,12.0,12.0,0.645913811946318,0.1596627735708062
