split,evaluation_protocol,eval_kind,seed,rep,level,axis,predictor,line,arm,kind,n,rmse_S,rmst_mae,rmst_bias
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,dynasurv,all,ET+ANTI-CDK wo CT,counterfactual,1631,0.1205218332063663,1.346810531155366,0.80628866338795
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,dynasurv,all,MONOCT std alone,counterfactual,2573,0.0997689663335283,1.3572020832101777,0.9159180414872748
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,dynasurv,all,POLYCT alone,counterfactual,2998,0.1137900589487786,1.405767065143088,0.7110581736350339
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,oracle,1,ET alone,factual,337,0.0,7.557129396043443e-06,-7.297814053078895e-06
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,oracle,1,ET+ANTI-CDK wo CT,factual,1254,0.0,7.365877249388856e-06,-7.291412434992681e-06
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,oracle,1,MONOCT std alone,factual,207,0.0,8.7381554897827e-06,-8.7381554897827e-06
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,oracle,1,POLYCT alone,factual,179,0.0,8.142434415896113e-06,-8.005310508285691e-06
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,oracle,1,ET alone,counterfactual,1640,0.0,7.951899106763375e-06,-7.826659197159397e-06
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,oracle,1,ET+ANTI-CDK wo CT,counterfactual,723,0.0,7.052296004331019e-06,-6.9673676845271625e-06
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,oracle,1,MONOCT std alone,counterfactual,1770,0.0,8.729330083046497e-06,-8.705045776429163e-06
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,oracle,1,POLYCT alone,counterfactual,1798,0.0,7.978498166079276e-06,-7.918779250616794e-06
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,oracle,2,ET alone,factual,131,0.0,1.2651228670049472e-05,-1.1210024552997725e-05
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,oracle,2,ET+ANTI-CDK wo CT,factual,328,0.0,1.20725517813535e-05,-1.1576544535622149e-05
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,oracle,2,MONOCT std alone,factual,278,0.0,1.4160188610374792e-05,-1.3939044596297062e-05
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,oracle,2,POLYCT alone,factual,103,0.0,1.315367656570998e-05,-1.0349464207053168e-05
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,oracle,2,ET alone,counterfactual,709,0.0,1.2505200283996236e-05,-1.1637038580253638e-05
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,oracle,2,ET+ANTI-CDK wo CT,counterfactual,512,0.0,1.2140433153663003e-05,-1.0886206012073602e-05
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,oracle,2,MONOCT std alone,counterfactual,562,0.0,1.3811260160353908e-05,-1.355937566298656e-05
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,oracle,2,POLYCT alone,counterfactual,737,0.0,1.3294582312635587e-05,-1.2573420037606129e-05
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,oracle,3,ET alone,factual,19,0.0,1.3240501801999696e-05,-9.810234019989506e-06
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,oracle,3,ET+ANTI-CDK wo CT,factual,42,0.0,1.418013388927653e-05,-1.418013388927653e-05
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,oracle,3,MONOCT std alone,factual,275,0.0,1.705730162844658e-05,-1.6389605056836843e-05
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,oracle,3,POLYCT alone,factual,102,0.0,1.6733273246526426e-05,-1.5187655059372052e-05
legacy_reused_holdout,1,bestCI,0,0,0.0,gamma,oracle,3,ET alone,counterfactual,419,0.0,1.5823553789919186e-05,-1.4344745219054851e-05
