axis,level,eval_kind,predictor,mean_pair_pehe_mean,mean_pair_pehe_std,ate_bias_abs_mean,ate_bias_abs_std,counterfactual_rmst_mae_mean,counterfactual_rmst_mae_std,regret_mean,regret_std,hit_rate_mean,hit_rate_std,c_index_mean,c_index_std,brier_mean,brier_std,n_reps
heterogeneity,0.0,bestCI,naive_km,1.1926643951401024,0.13351146912460707,1.1103836873627526,0.11527795088319837,2.0408780376523463,0.07658074373079363,0.014835600754844665,0.02569601426819815,0.9577179264407761,0.07323469965394036,0.581679758772133,0.016475013113017686,0.1684597631170164,0.0022938447495848033,3
heterogeneity,0.0,bestCI,oracle,1.3216591296319582e-06,5.559146630383362e-08,2.6312768199652765e-07,1.8555530535897887e-08,1.06019779313383e-05,1.0377517366864635e-07,0.0,0.0,1.0,0.0,0.7121005512369519,0.005351176858914273,0.13588569514503254,0.001320571918743301,3
heterogeneity,0.5,bestCI,dynasurv,1.4608245481343072,0.28781818583192414,0.9442004698358674,0.44897525692052825,1.5156714101888464,0.14875945955454448,0.15232371263203445,0.07813822627038548,0.6697557679312675,0.119759374542909,0.6698513595784696,0.011638383932043202,0.16050912339648749,0.00841246880063621,3
heterogeneity,0.5,bestCI,naive_km,1.2999273804617155,0.09658069493133108,1.04985404492578,0.10297400178475638,2.056805178838624,0.06439817150854264,0.12501722067708437,0.006557541210715409,0.7177333719470992,0.011127449562626537,0.574499696948309,0.019450749705259424,0.16951639704468038,0.0020536671049175277,3
heterogeneity,0.5,bestCI,oracle,2.0003685265139833e-06,6.196307975859285e-08,6.652023465725305e-07,1.3043099859711977e-08,1.0832624940425168e-05,1.0693625457120394e-07,0.0,0.0,1.0,0.0,0.7162549506771523,0.0073442878251006125,0.1349775028017883,0.0016496363150100527,3
heterogeneity,2.0,bestCI,dynasurv,2.64302292545445,0.5258750866274158,1.3500286860306734,0.4880630580273105,1.7638875848209483,0.1505641394965032,0.5213581621121738,0.06529816301642302,0.6224539048170673,0.00788515411011175,0.6960033561866611,0.003907170656005123,0.15474951981431226,0.007041500671644384,3
heterogeneity,2.0,bestCI,naive_km,2.7728947391773127,0.03282760934998469,1.1366717495997964,0.09338830512663787,2.363798708453031,0.033159762713521244,1.3480199865950049,0.023100972534035175,0.42977121343759056,0.005517682850639356,0.5620687826011709,0.015286627626937423,0.17399293050253326,0.002192832575528258,3
heterogeneity,2.0,bestCI,oracle,7.904129026848985e-06,1.775790723234084e-07,2.08792186725659e-06,4.80646878935955e-08,1.2184455857851329e-05,1.0486396021411515e-07,0.0,0.0,1.0,0.0,0.7440886095584687,0.0029945164874722275,0.12736075487544546,0.0012517025074539226,3
strength,0.5,bestCI,dynasurv,2.2460399377879443,0.3203919322744254,1.4870434335931293,0.24074762253673493,1.6857889164189201,0.13070920411890805,0.43603281615593065,0.03569123871087299,0.5894391350516459,0.016373044930481116,0.6806187695775154,0.007262962531671726,0.15772107019317952,0.0016832490619071061,3
strength,0.5,bestCI,naive_km,1.9564235337795004,0.07233072777952165,1.3720238145007146,0.09888704767201704,2.287372480427209,0.04877347898021438,0.5148418045977291,0.011780733134532975,0.5587411912346751,0.006855302935642847,0.5871486113122412,0.01622041496367119,0.1688586159050097,0.0007656550471376898,3
strength,0.5,bestCI,oracle,3.764430389762456e-06,7.98859151038307e-08,1.1196338405012222e-06,1.7829529146942852e-08,1.10894907162364e-05,1.3080518825938103e-07,0.0,0.0,1.0,0.0,0.7212377488774194,0.005800939052795184,0.1338449820405955,0.0008928277589460276,3
strength,1.0,bestCI,dynasurv,2.6992583239652714,0.1514605549630575,2.1387278274177173,0.1563238362488008,1.9944628583446609,0.10381474722546788,0.48378805237051153,0.014399242070188075,0.5715802683656723,0.006713133951429248,0.6821224863747265,0.00828622469502543,0.16031994277283282,0.006529489622881578,3
strength,1.0,bestCI,naive_km,2.1699897096895406,0.12814847292869766,1.636915052005987,0.1364123863874192,2.425109020758627,0.06478242974120015,0.5153125868417082,0.01143531398602326,0.5587411912346751,0.006855302935642847,0.5956053573194895,0.015098102021890741,0.16663112631823143,0.0008336719771347353,3
strength,1.0,bestCI,oracle,3.7759652195048004e-06,8.475056783818084e-08,1.1162527455595343e-06,1.7536001372438454e-08,1.1005234542847316e-05,1.0582882165140455e-07,0.0,0.0,1.0,0.0,0.7207360861093015,0.00493242150939968,0.13383630377445951,0.00038922748508775904,3
