axis,level,n_reps,pehe_mean,pehe_std,ate_bias_abs_mean,ate_bias_abs_std,regret_mean,regret_std,hit_rate_mean,hit_rate_std,c_index_mean,c_index_std,c_index_naive_km,c_index_oracle,regret_best_constant,regret_random,regret_oracle
strength,0.5,3,2.246,0.32,1.487,0.241,0.436,0.036,0.589,0.016,0.681,0.007,0.587,0.721,0.513,0.799,0.0
strength,1.0,3,2.699,0.151,2.139,0.156,0.484,0.014,0.572,0.007,0.682,0.008,0.596,0.721,0.513,0.8,0.0
