split,evaluation_protocol,eval_kind,seed,rep,level,axis,predictor,policy,line,n,value,regret,hit_rate,abstain_rate
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,reference,factual,all,3453,16.938435332312718,0.6744039606986292,0.3536055603822763,0.0
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,reference,best_constant,1,1977,20.87605414776552,0.4491970910262663,0.6575619625695498,0.0
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,reference,best_constant,2,840,14.033730875488027,0.7105849813483274,0.3976190476190476,0.0
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,reference,best_constant,3,438,9.723529694786732,0.3506962963329208,0.4315068493150685,0.0
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,reference,best_constant,4,198,8.975861474463823,0.4149267872729507,0.4242424242424242,0.0
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,reference,best_constant,all,3453,17.114514788242918,0.4983245047684295,0.5522733854619172,0.0
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,dynasurv,line_only,1,1977,20.933749694669434,0.3915015441223517,0.6767830045523521,0.0
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,dynasurv,line_only,2,840,14.14154650293158,0.6027693539047766,0.4333333333333333,0.0
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,dynasurv,line_only,3,438,9.786697474093804,0.2875285170258508,0.4703196347031963,0.0
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,dynasurv,line_only,4,198,9.080344622281654,0.3104436394551187,0.5505050505050505,0.0
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,dynasurv,line_only,all,3453,17.187779883489384,0.4250594095219629,0.5841297422531132,0.0
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,dynasurv,supported,1,1977,20.933749694669434,0.3915015441223517,0.6767830045523521,0.0
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,dynasurv,supported,2,840,14.14014712137599,0.6041687354603675,0.4321428571428571,0.0
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,dynasurv,supported,3,438,9.766580620900712,0.3076453702189404,0.4452054794520548,0.0
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,dynasurv,supported,4,198,9.078571086933431,0.3122171748033393,0.4595959595959596,0.0
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,dynasurv,supported,all,3453,17.184786016647735,0.4280532763636128,0.5754416449464234,0.0
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,oracle,line_only,1,1977,21.32525123879178,0.0,1.0,0.0
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,oracle,line_only,2,840,14.74431585683636,0.0,1.0,0.0
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,oracle,line_only,3,438,10.074225991119652,0.0,1.0,0.0
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,oracle,line_only,4,198,9.390788261736772,0.0,1.0,0.0
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,oracle,line_only,all,3453,17.612839293011348,0.0,1.0,0.0
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,naive_km,line_only,1,1977,20.87605414776552,0.4491970910262663,0.6575619625695498,0.0
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,naive_km,line_only,2,840,14.033730875488027,0.7105849813483274,0.3976190476190476,0.0
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,naive_km,line_only,3,438,9.465451183146698,0.6087748079729542,0.1004566210045662,0.0
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,naive_km,line_only,4,198,8.86660723083423,0.5241810309025432,0.398989898989899,0.0
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,naive_km,line_only,all,3453,17.07551370850443,0.5373255845069159,0.508832898928468,0.0
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,reference,random,1,1977,20.539644758636523,0.7856064801552539,0.25,0.0
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,reference,random,2,840,13.848958070279236,0.8953577865571221,0.25,0.0
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,reference,random,3,438,9.54922356361645,0.5250024275032023,0.25,0.0
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,reference,random,4,198,8.877443249505058,0.5133450122317162,0.3333333333333334,0.0
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,reference,random,all,3453,16.84920247643353,0.7636368165778168,0.2547784535186794,0.0
legacy_reused_holdout,1,bestCI,2,2,0.0,gamma,reference,factual,1,1977,20.627572005569,0.6515853576288879,0.4410723318158826,0.0
legacy_reused_holdout,1,bestCI,2,2,0.0,gamma,reference,factual,2,840,13.807325826116024,0.8983507772281476,0.2571428571428571,0.0
legacy_reused_holdout,1,bestCI,2,2,0.0,gamma,reference,factual,3,438,9.443281314559547,0.5650405031209006,0.2123287671232876,0.0
legacy_reused_holdout,1,bestCI,2,2,0.0,gamma,reference,factual,4,198,8.954429060538427,0.5463043354194272,0.2575757575757575,0.0
legacy_reused_holdout,1,bestCI,2,2,0.0,gamma,reference,factual,all,3453,16.88039319974256,0.6946003196304538,0.3567911960613958,0.0
legacy_reused_holdout,1,bestCI,2,2,0.0,gamma,reference,best_constant,1,1977,20.822589809928452,0.4565675532694354,0.6575619625695498,0.0
legacy_reused_holdout,1,bestCI,2,2,0.0,gamma,reference,best_constant,2,840,13.991372124121114,0.7143044792230575,0.3976190476190476,0.0
legacy_reused_holdout,1,bestCI,2,2,0.0,gamma,reference,best_constant,3,438,9.654458380484051,0.3538634371963945,0.4315068493150685,0.0
legacy_reused_holdout,1,bestCI,2,2,0.0,gamma,reference,best_constant,4,198,9.090565243274934,0.4101681526829193,0.4242424242424242,0.0
legacy_reused_holdout,1,bestCI,2,2,0.0,gamma,reference,best_constant,all,3453,17.07141538584151,0.5035781335315033,0.5522733854619172,0.0
legacy_reused_holdout,1,bestCI,2,2,0.0,gamma,dynasurv,line_only,1,1977,20.86093515130941,0.4182222118884838,0.5624683864441072,0.0
legacy_reused_holdout,1,bestCI,2,2,0.0,gamma,dynasurv,line_only,2,840,14.155001292062064,0.5506753112821063,0.4178571428571428,0.0
